Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Медианный фильтр (последовательный);1;7;3.93422^;1^;
Медианный фильтр (Open MP);2;7;2.45041^;1.60553^;
;3;7;1.73626^;2.26591^;
;4;7;1.41671^;2.77702^;
Медианный фильтр (TBB);2;7;3.79312^;1.0372^;
;3;7;2.59216^;1.51774^;
;4;7;2.08251^;1.88917^;
Фильтр Гаусса (последовательный);1;7;0.129181^;1^;
Фильтр Гаусса (Open MP);2;7;0.0676905^;1.90841^;
;3;7;0.0458011^;2.82048^;
;4;7;0.0387558^;3.33321^;
