Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4;
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n)
Медианный фильтр (последовательный);1;7;0,679771;1;0,829805;1;3,55314;1;9,14514;1
;;13;2,8914;1;3,51917;1;15,4808;1;39,0843;1
;;19;6,94219;1;8,48207;1;37,3054;1;93,1403;1
Медианный фильтр (Open MP);2;7;0,503703;1,34955;0,555375;1,49413;2,25791;1,57364;5,29524;1,72705
;;13;1,93979;1,49057;2,04711;1,71909;9,07251;1,70634;21,1389;1,84893
;;19;4,57407;1,51773;4,75683;1,78313;21,4822;1,73657;49,8817;1,86722
;3;7;0,360015;1,88817;0,392251;2,11549;1,52577;2,32874;3,61008;2,53322
;;13;1,40158;2,06296;1,45394;2,42043;6,12198;2,52873;14,3732;2,71925
;;19;3,3007;2,10325;3,38558;2,50535;14,4579;2,58028;34,0199;2,73782
;4;7;0,269798;2,51955;0,291258;2,84903;1,17636;3,02045;2,75451;3,32006
;;13;1,04818;2,7585;1,06106;3,31665;4,73928;3,26649;11,0126;3,54905
;;19;2,47593;2,80388;2,45457;3,45562;11,2971;3,30221;25,9579;3,58813
Медианный фильтр (TBB);2;7;0,74251;0,915505;1,06606;0,778383;3,16644;1,12213;7,61221;1,20138
;;13;2,10716;1,37218;2,845;1,23696;10,0047;1,54735;24,7174;1,58124
;;19;4,1983;1,65357;5,42521;1,56345;21,5748;1,72912;51,1906;1,81948
;3;7;0,501036;1,35673;0,721274;1,15047;2,14397;1,65727;5,24431;1,74382
;;13;1,42643;2,02702;1,92607;1,82712;6,75998;2,29007;16,6961;2,34092
;;19;2,83947;2,44489;3,6731;2,30924;14,2313;2,62136;35,2048;2,64567
;4;7;0,394462;1,72329;0,562587;1,47498;1,66128;2,1388;4,05808;2,25356
;;13;1,10472;2,61731;1,49088;2,36046;5,20672;2,97324;12,8511;3,04132
;;19;2,18916;3,17117;2,85073;2,9754;10,9633;3,40274;27,0788;3,43961
Фильтр Гаусса (последовательный);1;7;0,0311419;1;0,0489563;1;0,11105;1;0,249015;1
;;13;0,0983065;1;0,158101;1;0,359706;1;0,809963;1
;;19;0,20179;1;0,323757;1;0,74197;1;1,67074;1
Фильтр Гаусса (Open MP);2;7;0,0151108;2,0609;0,024259;2,01807;0,0552812;2,00882;0,122693;2,02958
;;13;0,0493986;1,99006;0,0792857;1,99406;0,181459;1,98229;0,405833;1,9958
;;19;0,101762;1,98296;0,162634;1,99071;0,372978;1,98931;0,835617;1,99941
;3;7;0,0102353;3,0426;0,0164063;2,984;0,0376866;2,94667;0,0840108;2,96409
;;13;0,0336383;2,92246;0,0535434;2,95276;0,122627;2,93333;0,27565;2,93838
;;19;0,0701634;2,87601;0,110573;2,92798;0,253161;2,93082;0,566336;2,95008
;4;7;0,0145802;2,13591;0,0185524;2,63882;0,0291602;3,80828;0,0645634;3,85691
;;13;0,0296097;3,32008;0,0462804;3,41615;0,100799;3,56853;0,228718;3,54132
;;19;0,0580011;3,47908;0,0924438;3,5022;0,201244;3,68692;0,460177;3,63064
Фильтр Гаусса(TBB);2;7;0,015482;2,01149;0,0247344;1,97928;0,0564004;1,96896;0,125459;1,98483
;;13;0,0500225;1,96525;0,0802713;1,96958;0,183039;1,96519;0,410962;1,9709
;;19;0,104337;1,93402;0,165421;1,95716;0,374635;1,98052;0,847087;1,97233
;3;7;0,0103904;2,99718;0,0166214;2,94537;0,0378107;2,937;0,0850455;2,92802
;;13;0,0337182;2,91553;0,0544342;2,90444;0,12421;2,89596;0,278995;2,90315
;;19;0,0697757;2,89199;0,111779;2,89639;0,255564;2,90326;0,575289;2,90417
;4;7;0,00828062;3,76082;0,0127618;3,83617;0,0287179;3,86693;0,0652136;3,81846
;;13;0,0273889;3,58929;0,0438288;3,60724;0,0998861;3,60116;0,225182;3,59693
;;19;0,0561524;3,59362;0,09109;3,55425;0,203893;3,63901;0,461389;3,62111
Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Медианный фильтр (последовательный);1;7;
