
НД: 200000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;93.1031п2;131.2539п3;158.8861п4;
Последоватьное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;44.4869п2;44.5705п3;44.7850п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;43.2444п2;42.5690п3;42.4972п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;95.3955п2;132.5357п3;150.5941п4;
Параллельное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;26.1259п2;19.7189п3;17.4646п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;24.5900п2;17.7425п3;15.1530п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;75.2334п2;109.0137п3;136.7832п4;
Параллельное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;24.6087п2;17.9894п3;15.6930п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;23.1566п2;15.9498п3;13.4242п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;73.8427п2;106.3685п3;135.7437п4;
Параллельное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;25.9170п2;19.6493п3;17.1863п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;24.4983п2;17.6182п3;15.0249п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;75.8921п2;108.2060п3;133.4988п4;

НД: 200000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Последоватьное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;8.6951п2;8.8194п3;8.9378п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;8.4257п2;8.5210п3;8.5234п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;17.0494п2;26.0896п3;33.4580п4;
Последоватьное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;8.4289п2;8.4772п3;8.5159п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;8.1682п2;8.0867п3;8.0834п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;17.4163п2;25.7493п3;34.2637п4;
Последоватьное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;8.7118п2;8.8553п3;8.9404п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;8.4291п2;8.4696п3;8.6459п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;17.9273п2;26.1055п3;33.2119п4;
Параллельное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;5.1072п2;3.8514п3;3.3088п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;4.8259п2;3.4708п3;2.8724п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;14.2008п2;21.2439п3;27.5447п4;
Параллельное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;4.8339п2;3.4821п3;2.8488п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;4.5574п2;3.0929п3;2.4142п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;14.1963п2;20.7062п3;27.4243п4;
Параллельное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;5.0744п2;3.8510п3;3.3003п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;4.7965п2;3.4548п3;2.8621п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;14.3090п2;21.1790п3;28.9295п4;

НД: 500000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Последоватьное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;22.1851п2;22.2507п3;22.1294п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;21.4778п2;21.3177п3;21.0516п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;44.9342п2;67.7379п3;82.1060п4;
Последоватьное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;21.5615п2;21.5391п3;21.4520п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;20.7362п2;20.5924п3;20.4133п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;45.3521п2;67.2371п3;84.1004п4;
Последоватьное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;22.1900п2;22.3460п3;22.1266п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;21.4232п2;21.3402п3;21.0108п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;45.3421п2;68.6180п3;85.0457п4;
Параллельное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;13.0565п2;9.7948п3;8.6777п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;12.3499п2;8.8176п3;7.5406п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;37.4028п2;55.0534п3;70.8086п4;
Параллельное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;12.4186п2;8.8467п3;7.9938п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;11.5998п2;7.8503п3;6.8651п4;
