Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n);
Среднеарифметический фильтр (последовательный);1;3;0.088854^;1^;0.121799^;1^;0.676408^;1^;0.729069^;1^;
;;9;0.593206^;1^;0.817432^;1^;4.53418^;1^;4.89548^;1^;
;;12;1.01417^;1^;1.39968^;1^;7.77918^;1^;8.39507^;1^;
Фильтр Гаусса (последовательный);1;3;0.132397^;1^;0.181561^;1^;1.0088^;1^;1.08741^;1^;
;;9;0.918333^;1^;1.26935^;1^;7.05038^;1^;7.60763^;1^;
;;12;1.58265^;1^;2.18617^;1^;12.1641^;1^;13.1342^;1^;
